command,language,intent,action
open the plan section,en,nav.goto,navigate(section)
jarvis open the plan section,en,nav.goto,navigate(section)
open the plan section jarvis,en,nav.goto,navigate(section)
open the intelligence section,en,nav.goto,navigate(section)
jarvis open the intelligence section,en,nav.goto,navigate(section)
open the intelligence section jarvis,en,nav.goto,navigate(section)
go to plan,en,nav.goto,navigate(section)
jarvis go to plan,en,nav.goto,navigate(section)
go to plan jarvis,en,nav.goto,navigate(section)
go to intelligence,en,nav.goto,navigate(section)
jarvis go to intelligence,en,nav.goto,navigate(section)
go to intelligence jarvis,en,nav.goto,navigate(section)
show me plan,en,nav.goto,navigate(section)
jarvis show me plan,en,nav.goto,navigate(section)
show me plan jarvis,en,nav.goto,navigate(section)
show me intelligence,en,nav.goto,navigate(section)
jarvis show me intelligence,en,nav.goto,navigate(section)
show me intelligence jarvis,en,nav.goto,navigate(section)
take me to plan,en,nav.goto,navigate(section)
jarvis take me to plan,en,nav.goto,navigate(section)
take me to plan jarvis,en,nav.goto,navigate(section)
take me to intelligence,en,nav.goto,navigate(section)
jarvis take me to intelligence,en,nav.goto,navigate(section)
take me to intelligence jarvis,en,nav.goto,navigate(section)
plan खोलो,hi,nav.goto,navigate(section)
jarvis plan खोलो,hi,nav.goto,navigate(section)
plan खोलो jarvis,hi,nav.goto,navigate(section)
intelligence खोलो,hi,nav.goto,navigate(section)
jarvis intelligence खोलो,hi,nav.goto,navigate(section)
intelligence खोलो jarvis,hi,nav.goto,navigate(section)
plan पर जाओ,hi,nav.goto,navigate(section)
jarvis plan पर जाओ,hi,nav.goto,navigate(section)
plan पर जाओ jarvis,hi,nav.goto,navigate(section)
intelligence पर जाओ,hi,nav.goto,navigate(section)
jarvis intelligence पर जाओ,hi,nav.goto,navigate(section)
intelligence पर जाओ jarvis,hi,nav.goto,navigate(section)
plan दिखाओ,hi,nav.goto,navigate(section)
jarvis plan दिखाओ,hi,nav.goto,navigate(section)
plan दिखाओ jarvis,hi,nav.goto,navigate(section)
intelligence दिखाओ,hi,nav.goto,navigate(section)
jarvis intelligence दिखाओ,hi,nav.goto,navigate(section)
intelligence दिखाओ jarvis,hi,nav.goto,navigate(section)
plan सेक्शन पर ले चलो,hi,nav.goto,navigate(section)
jarvis plan सेक्शन पर ले चलो,hi,nav.goto,navigate(section)
plan सेक्शन पर ले चलो jarvis,hi,nav.goto,navigate(section)
intelligence सेक्शन पर ले चलो,hi,nav.goto,navigate(section)
jarvis intelligence सेक्शन पर ले चलो,hi,nav.goto,navigate(section)
intelligence सेक्शन पर ले चलो jarvis,hi,nav.goto,navigate(section)
plan section kholo,hinglish,nav.goto,navigate(section)
jarvis plan section kholo,hinglish,nav.goto,navigate(section)
plan section kholo jarvis,hinglish,nav.goto,navigate(section)
intelligence section kholo,hinglish,nav.goto,navigate(section)
jarvis intelligence section kholo,hinglish,nav.goto,navigate(section)
intelligence section kholo jarvis,hinglish,nav.goto,navigate(section)
plan pe le chalo,hinglish,nav.goto,navigate(section)
jarvis plan pe le chalo,hinglish,nav.goto,navigate(section)
plan pe le chalo jarvis,hinglish,nav.goto,navigate(section)
intelligence pe le chalo,hinglish,nav.goto,navigate(section)
jarvis intelligence pe le chalo,hinglish,nav.goto,navigate(section)
intelligence pe le chalo jarvis,hinglish,nav.goto,navigate(section)
plan dikhao,hinglish,nav.goto,navigate(section)
jarvis plan dikhao,hinglish,nav.goto,navigate(section)
plan dikhao jarvis,hinglish,nav.goto,navigate(section)
intelligence dikhao,hinglish,nav.goto,navigate(section)
jarvis intelligence dikhao,hinglish,nav.goto,navigate(section)
intelligence dikhao jarvis,hinglish,nav.goto,navigate(section)
plan wala part khol do,hinglish,nav.goto,navigate(section)
jarvis plan wala part khol do,hinglish,nav.goto,navigate(section)
plan wala part khol do jarvis,hinglish,nav.goto,navigate(section)
intelligence wala part khol do,hinglish,nav.goto,navigate(section)
jarvis intelligence wala part khol do,hinglish,nav.goto,navigate(section)
intelligence wala part khol do jarvis,hinglish,nav.goto,navigate(section)
start a 25 minute focus session,en,timer.start,focusTimer.start(min)
jarvis start a 25 minute focus session,en,timer.start,focusTimer.start(min)
start a 25 minute focus session jarvis,en,timer.start,focusTimer.start(min)
start a 30 minute focus session,en,timer.start,focusTimer.start(min)
jarvis start a 30 minute focus session,en,timer.start,focusTimer.start(min)
start a 30 minute focus session jarvis,en,timer.start,focusTimer.start(min)
begin focus for 25 minutes,en,timer.start,focusTimer.start(min)
jarvis begin focus for 25 minutes,en,timer.start,focusTimer.start(min)
begin focus for 25 minutes jarvis,en,timer.start,focusTimer.start(min)
begin focus for 30 minutes,en,timer.start,focusTimer.start(min)
jarvis begin focus for 30 minutes,en,timer.start,focusTimer.start(min)
begin focus for 30 minutes jarvis,en,timer.start,focusTimer.start(min)
start studying,en,timer.start,focusTimer.start(min)
jarvis start studying,en,timer.start,focusTimer.start(min)
start studying jarvis,en,timer.start,focusTimer.start(min)
focus mode on,en,timer.start,focusTimer.start(min)
jarvis focus mode on,en,timer.start,focusTimer.start(min)
focus mode on jarvis,en,timer.start,focusTimer.start(min)
25 मिनट की पढ़ाई शुरू करो,hi,timer.start,focusTimer.start(min)
jarvis 25 मिनट की पढ़ाई शुरू करो,hi,timer.start,focusTimer.start(min)
25 मिनट की पढ़ाई शुरू करो jarvis,hi,timer.start,focusTimer.start(min)
30 मिनट की पढ़ाई शुरू करो,hi,timer.start,focusTimer.start(min)
jarvis 30 मिनट की पढ़ाई शुरू करो,hi,timer.start,focusTimer.start(min)
30 मिनट की पढ़ाई शुरू करो jarvis,hi,timer.start,focusTimer.start(min)
फोकस शुरू करो,hi,timer.start,focusTimer.start(min)
jarvis फोकस शुरू करो,hi,timer.start,focusTimer.start(min)
फोकस शुरू करो jarvis,hi,timer.start,focusTimer.start(min)
पढ़ाई चालू करो,hi,timer.start,focusTimer.start(min)
jarvis पढ़ाई चालू करो,hi,timer.start,focusTimer.start(min)
पढ़ाई चालू करो jarvis,hi,timer.start,focusTimer.start(min)
टाइमर शुरू करो,hi,timer.start,focusTimer.start(min)
jarvis टाइमर शुरू करो,hi,timer.start,focusTimer.start(min)
टाइमर शुरू करो jarvis,hi,timer.start,focusTimer.start(min)
25 minute ka focus start karo,hinglish,timer.start,focusTimer.start(min)
jarvis 25 minute ka focus start karo,hinglish,timer.start,focusTimer.start(min)
25 minute ka focus start karo jarvis,hinglish,timer.start,focusTimer.start(min)
30 minute ka focus start karo,hinglish,timer.start,focusTimer.start(min)
jarvis 30 minute ka focus start karo,hinglish,timer.start,focusTimer.start(min)
30 minute ka focus start karo jarvis,hinglish,timer.start,focusTimer.start(min)
padhai shuru karo,hinglish,timer.start,focusTimer.start(min)
jarvis padhai shuru karo,hinglish,timer.start,focusTimer.start(min)
padhai shuru karo jarvis,hinglish,timer.start,focusTimer.start(min)
focus chalu kar do,hinglish,timer.start,focusTimer.start(min)
jarvis focus chalu kar do,hinglish,timer.start,focusTimer.start(min)
focus chalu kar do jarvis,hinglish,timer.start,focusTimer.start(min)
timer start kar do,hinglish,timer.start,focusTimer.start(min)
jarvis timer start kar do,hinglish,timer.start,focusTimer.start(min)
timer start kar do jarvis,hinglish,timer.start,focusTimer.start(min)
stop the timer,en,timer.stop,focusTimer.stop()
jarvis stop the timer,en,timer.stop,focusTimer.stop()
stop the timer jarvis,en,timer.stop,focusTimer.stop()
end the session,en,timer.stop,focusTimer.stop()
jarvis end the session,en,timer.stop,focusTimer.stop()
end the session jarvis,en,timer.stop,focusTimer.stop()
stop focus,en,timer.stop,focusTimer.stop()
jarvis stop focus,en,timer.stop,focusTimer.stop()
stop focus jarvis,en,timer.stop,focusTimer.stop()
pause studying,en,timer.stop,focusTimer.stop()
jarvis pause studying,en,timer.stop,focusTimer.stop()
pause studying jarvis,en,timer.stop,focusTimer.stop()
टाइमर बंद करो,hi,timer.stop,focusTimer.stop()
jarvis टाइमर बंद करो,hi,timer.stop,focusTimer.stop()
टाइमर बंद करो jarvis,hi,timer.stop,focusTimer.stop()
सेशन खत्म करो,hi,timer.stop,focusTimer.stop()
jarvis सेशन खत्म करो,hi,timer.stop,focusTimer.stop()
सेशन खत्म करो jarvis,hi,timer.stop,focusTimer.stop()
फोकस रोको,hi,timer.stop,focusTimer.stop()
jarvis फोकस रोको,hi,timer.stop,focusTimer.stop()
फोकस रोको jarvis,hi,timer.stop,focusTimer.stop()
पढ़ाई रोको,hi,timer.stop,focusTimer.stop()
jarvis पढ़ाई रोको,hi,timer.stop,focusTimer.stop()
पढ़ाई रोको jarvis,hi,timer.stop,focusTimer.stop()
timer band karo,hinglish,timer.stop,focusTimer.stop()
jarvis timer band karo,hinglish,timer.stop,focusTimer.stop()
timer band karo jarvis,hinglish,timer.stop,focusTimer.stop()
session khatam,hinglish,timer.stop,focusTimer.stop()
jarvis session khatam,hinglish,timer.stop,focusTimer.stop()
session khatam jarvis,hinglish,timer.stop,focusTimer.stop()
focus rok do,hinglish,timer.stop,focusTimer.stop()
jarvis focus rok do,hinglish,timer.stop,focusTimer.stop()
focus rok do jarvis,hinglish,timer.stop,focusTimer.stop()
padhai pause karo,hinglish,timer.stop,focusTimer.stop()
jarvis padhai pause karo,hinglish,timer.stop,focusTimer.stop()
padhai pause karo jarvis,hinglish,timer.stop,focusTimer.stop()
add 25 more minutes,en,timer.extend,focusTimer.extend(min)
